Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Jurgen Streeck,Unit 128,PLAY,0:01:40,0:01:42,0:22:48,0:22:50
Jurgen Streeck,Unit 129,FREV,0:01:42,0:01:40,0:22:50,0:22:57
Jurgen Streeck,Unit 130,PLAY,0:01:40,0:01:42,0:22:57,0:22:59
Jurgen Streeck,Unit 131,STILL,0:01:42,0:01:42,0:22:59,0:23:06
Jurgen Streeck,Unit 132,PLAY,0:01:42,0:01:43,0:23:06,0:23:07
Jurgen Streeck,Unit 133,STILL,0:01:43,0:01:43,0:23:07,0:23:38
Jurgen Streeck,Unit 134,PLAY,0:01:43,0:01:53,0:23:38,0:23:48
Jurgen Streeck,Unit 135,FREV,0:01:53,0:01:49,0:23:48,0:23:54
Jurgen Streeck,Unit 136,PLAY,0:01:49,0:01:59,0:23:54,0:24:05
Jurgen Streeck,Unit 137,STILL,0:01:59,0:01:59,0:24:05,0:24:22
Jurgen Streeck,Unit 138,FREV,0:01:59,0:00:00,0:24:22,0:24:27
Jurgen Streeck,Unit 139,STILL,0:00:00,0:00:00,0:24:27,0:25:39
Jurgen Streeck,Unit 140,PLAY,0:00:00,0:00:04,0:25:39,0:25:43
Jurgen Streeck,Unit 141,FREV,0:00:04,0:00:02,0:25:43,0:25:48
Jurgen Streeck,Unit 142,STILL,0:00:02,0:00:02,0:25:48,0:26:12
Jurgen Streeck,Unit 143,PLAY,0:00:02,0:00:07,0:26:12,0:26:17
Jurgen Streeck,Unit 144,STILL,0:00:07,0:00:07,0:26:17,0:26:22
Jurgen Streeck,Unit 145,PLAY,0:00:07,0:00:18,0:26:22,0:26:33
Jurgen Streeck,Unit 146,STILL,0:00:18,0:00:18,0:26:33,0:26:34
Jurgen Streeck,Unit 147,PLAY,0:00:18,0:00:21,0:26:34,0:26:37
Jurgen Streeck,Unit 148,STILL,0:00:21,0:00:21,0:26:37,0:27:02
Jurgen Streeck,Unit 149,PLAY,0:00:21,0:00:31,0:27:02,0:27:12
Jurgen Streeck,Unit 150,STILL,0:00:31,0:00:31,0:27:12,0:27:45
Jurgen Streeck,Unit 151,FREV,0:00:31,0:00:17,0:27:45,0:27:55
Jurgen Streeck,Unit 152,STILL,0:00:17,0:00:17,0:27:55,0:28:27
Jurgen Streeck,Unit 153,PLAY,0:00:17,0:00:19,0:28:27,0:28:29
Jurgen Streeck,Unit 154,FREV,0:00:19,0:00:17,0:28:29,0:28:36
Jurgen Streeck,Unit 155,PLAY,0:00:17,0:00:18,0:28:36,0:28:37
Jurgen Streeck,Unit 156,STILL,0:00:18,0:00:18,0:28:37,0:28:41
Jurgen Streeck,Unit 157,PLAY,0:00:18,0:00:36,0:28:41,0:29:01
Jurgen Streeck,Unit 158,FREV,0:00:36,0:00:32,0:29:01,0:29:06
Jurgen Streeck,Unit 159,PLAY,0:00:32,0:01:01,0:29:06,0:29:38
Jurgen Streeck,Unit 160,FREV,0:01:01,0:00:46,0:29:38,0:29:47
Jurgen Streeck,Unit 161,PLAY,0:00:46,0:00:48,0:29:47,0:29:49
Jurgen Streeck,Unit 162,STILL,0:00:48,0:00:48,0:29:49,0:30:31
Jurgen Streeck,Unit 163,PLAY,0:00:48,0:00:50,0:30:31,0:30:33
Jurgen Streeck,Unit 164,STILL,0:00:50,0:00:50,0:30:33,0:30:47
Jurgen Streeck,Unit 165,PLAY,0:00:50,0:01:12,0:30:47,0:31:10
Jurgen Streeck,Unit 166,STILL,0:01:12,0:01:12,0:31:10,0:31:13
Jurgen Streeck,Unit 167,FREV,0:01:12,0:01:09,0:31:13,0:31:21
Jurgen Streeck,Unit 168,PLAY,0:01:09,0:01:11,0:31:21,0:31:23
Jurgen Streeck,Unit 169,STILL,0:01:11,0:01:11,0:31:23,0:32:16
